Nick;Platforma;Ocena;Data1;Godzina2;LiczbaKomentarzy;Tresc
Magdalena Szymanska;Ceneo;3,0;2022-12-15;8:05;14;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Krzysztof Zielinski;Google;4,1;2023-05-03;9:15;31;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Anonimowy uzytkownik;Google;4,1;2023-08-18;11:40;38;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Krzysztof Zielinski;Ceneo;4,3;2022-07-22;10:50;16;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
Magdalena Szymanska;Facebook;5,0;2022-03-14;7:30;1;Swietne miejsce pracy z duzymi mozliwosciami.
Anna Wisniewska;Opineo;3,5;2023-11-01;14:25;49;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Tomasz Wojcik;Facebook;3,9;2023-06-25;8:35;25;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Tomasz Wojcik;Opineo;3,8;2022-04-10;13:05;47;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Jan Kowalski;Facebook;4,3;2023-01-17;16:50;44;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Tomasz Wojcik;Ceneo;3,6;2022-09-09;15:15;27;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Krzysztof Zielinski;Facebook;4,8;2022-02-06;11:10;45;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Anonimowy uzytkownik;Ceneo;3,3;2022-12-21;10:25;33;Polecam, choc czasami dostawy sa opoznione.
Jan Kowalski;Opineo;4,0;2023-08-13;13:45;2;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Anna Wisniewska;Opineo;4,6;2023-05-29;9:00;20;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Anna Wisniewska;Google;4,8;2023-02-04;12:20;45;Jakosc produktow Danfoss stoi na wysokim poziomie, ale obsluga klienta wymaga poprawy.
Krzysztof Zielinski;Google;4,0;2022-03-24;10:05;48;Zakupilem produkty w Danfoss i jestem zadowolony z ich dzialania, ale czas oczekiwania na wysylke moglby byc krotszy.
Anonimowy uzytkownik;Opineo;4,6;2023-09-11;16:30;44;Firma dobrze zarzadza swoimi procesami, ale zbyt rzadko organizuja promocje.
Krzysztof Zielinski;Facebook;4,0;2022-01-20;8:50;27;Dobre wsparcie techniczne, ale nie zawsze latwo jest sie z nimi skontaktowac.
Piotr Kaczmarek;Google;4,2;2022-11-16;13:20;50;Czasami mam problemy z dostawa, ale produkty sa solidne.
Joanna Lewandowska;Opineo;3,5;2022-03-08;14:00;33;Produkty sa dobre, ale niektore z nich sa trudne do zainstalowania.
Piotr Kaczmarek;Facebook;4,3;2022-05-17;15:45;32;Obsluga na poziomie, ale niektore zamowienia mialy problem z realizacja.
Tomasz Wojcik;Ceneo;4,5;2023-01-27;11:25;23;Firma oferuje solidne rozwiazania, ale nie zawsze reaguja szybko na zapytania.
Maria Nowak;Google;3,6;2022-12-07;12:10;36;Wysoka jakosc, ale czas oczekiwania na odpowiedz od dzialu obslugi jest zbyt dlugi.
Krzysztof Zielinski;Opineo;2,9;2023-01-12;7:45;1;Dobre produkty, ale mogliby poprawic komunikacje z klientami.
Piotr Kaczmarek;Opineo;3,3;2023-07-10;15:00;20;Firma oferuje innowacyjne rozwiazania, ale czekanie na nie jest czasem zbyt dlugie.
Maria Nowak;Facebook;4,9;2023-06-01;10:30;46;Jakosc produktow jest swietna, ale firma moglaby oferowac wiecej informacji o swoich produktach.
Maria Nowak;Ceneo;3,4;2022-10-18;14:10;35;Profesjonalna obsluga, ale mogloby byc wiecej szkolen dla pracownikow.
Jan Kowalski;Google;3,5;2023-04-23;9:35;46;Ceny sa nieco wysokie, ale jakosc produktow rekompensuje ten koszt.
Magdalena Szymanska;Facebook;3,1;2022-01-02;12:50;31;Bardzo pozytywne doswiadczenie, choc czas oczekiwania na odpowiedz byl dlugi.
Tomasz Wojcik;Ceneo;4,3;2023-08-04;13:30;18;Firma bardzo solidna, ale dostepnosc niektorych produktow jest ograniczona.
Joanna Lewandowska;Ceneo;4,3;2023-09-25;11:50;43;Produkty Danfoss sa na najwyzszym poziomie, ale firma moglaby lepiej zarzadzac czasem dostawy.
Jan Kowalski;Google;5,0;2022-05-10;8:40;18;Dobre podejscie do klienta, ale czasami trzeba czekac na produkty dluzej, niz sie spodziewam.
Krzysztof Zielinski;Google;4,0;2023-03-16;9:25;37;Duza roznorodnosc produktow, ale ceny sa troche za wysokie.
Anonimowy uzytkownik;Google;4,1;2023-06-06;16:20;1;Firma oferuje doskonala jakosc, jednak czas realizacji zamowien moglby byc krotszy.
Maria Nowak;Opineo;4,5;2023-02-22;7:20;34;Obsluga klienta bardzo pomocna, ale niektore procesy wewnetrzne wymagaja usprawnienia.
Anonimowy uzytkownik;Google;4,4;2022-11-09;12:05;46;Produkty sa dobre, ale czasami trudno sie z nimi skontaktowac.
Krzysztof Zielinski;Ceneo;3,8;2022-03-18;14:45;25;Solidna firma, ale niektore produkty sa trudne do zamowienia.
Tomasz Wojcik;Facebook;4,1;2023-08-15;10:40;46;Zadowolony z jakosci, ale proces zamowienia moglby byc latwiejszy.
Joanna Lewandowska;Ceneo;4,9;2022-12-26;15:25;8;Produkty Danfoss sa godne polecenia, ale czas dostawy bywa rozny.
Magdalena Szymanska;Google;5,0;2022-07-05;13:10;25;Firma oferuje wysoka jakosc, ale czas oczekiwania na realizacje zamowienia jest czasami dlugi.
Piotr Kaczmarek;Facebook;4,6;2023-01-30;8:55;38;Produkty Danfoss naprawde ulatwiaja zycie, jednak procesy logistyczne moga byc szybsze.
Joanna Lewandowska;Opineo;4,9;2023-10-14;11:55;31;Jestem bardzo zadowolony z jakosci produktow, ale czekanie na dostawe jest frustrujace.
Magdalena Szymanska;Facebook;4,7;2023-05-28;9:40;1;Firma bardzo dobra, ale czas oczekiwania na odpowiedz na zapytanie jest za dlugi.
Adam Kaminski;Google;3,4;2022-09-19;10:10;11;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Tomasz Wojcik;Facebook;3,8;2022-12-04;12:25;37;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Jan Kowalski;Ceneo;3,8;2023-06-12;16:10;3;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Joanna Lewandowska;Opineo;3,3;2022-09-03;14:50;48;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
Maria Nowak;Google;3,8;2022-04-30;13:00;12;Swietne miejsce pracy z duzymi mozliwosciami.
Joanna Lewandowska;Facebook;4,1;2023-01-11;7:50;23;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Joanna Lewandowska;Facebook;3,5;2023-10-24;12:40;17;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Piotr Kaczmarek;Facebook;4,9;2022-06-09;16:25;25;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Magdalena Szymanska;Opineo;3,2;2023-03-19;13:55;27;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Jan Kowalski;Facebook;4,5;2023-07-14;11:30;15;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Maria Nowak;Facebook;4,9;2023-06-29;15:50;42;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Magdalena Szymanska;Ceneo;4,3;2022-11-21;9:05;12;Polecam, choc czasami dostawy sa opoznione.
Adam Kaminski;Opineo;4,3;2023-02-02;7:55;32;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Magdalena Szymanska;Opineo;4,8;2023-07-08;10:15;41;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Krzysztof Zielinski;Facebook;3,9;2022-03-27;14:30;11;Jakosc produktow Danfoss stoi na wysokim poziomie, ale obsluga klienta wymaga poprawy.
Magdalena Szymanska;Opineo;4,1;2022-09-17;13:25;2;Zakupilem produkty w Danfoss i jestem zadowolony z ich dzialania, ale czas oczekiwania na wysylke moglby byc krotszy.
